bottomless	اتھاہ اگم بے پیندہ
obscenity	بذائت بیہودگی ژاژ فحّاشی فواحش فسق قباحت فحاشت
sperm	بذر تُخم حَیوانسہ نُطفہ
spore	بذر
munificence	بذل جُود دِل سخاوت دریا دلی فیضان فیاضی
pleasantry	بذلہ تلعُّب چخلّس چُہل زِندگی لطائف لطیفہ مذاق مضحکہ چٹکلا پھبتی ظرافت
raillery	بذلہ چِھینٹا کِھلواڑ ہذل لطیفہ مزاح پھکڑ
witticism	بذلہ پھُلجھڑی جُگت چُٹکُلا سَیر فِقرہ لطیفہ چٹکلا شوخی طنز ٹھٹھول
suitor	بر طالِب عاشِق مُدّعی نالِشی عاشق منگیتر طالب
compassionate	بر دیالُو راحِم رحِیم رئوف درد مند ناک خدا ترس شفیق
chest	بر چھاتی صندوق کلیجا پیٹی صدر سینہ
memory	بر چِت چیت چیتا حافِظہ حِفظ خازِنیّت دھارنا ذِہن سُد سُدھ سُرت سِمرِتی سِینہ یاد یادداشت حافظہ خاطر ذکر داشت
bridegroom	بر بنّا بنڑا دُلہا دُولھا لڑکا نَوشہ عریس دولہا نوشہ
width	بر پٹ پنا پہن پہنائی چکلائی چَوڑائی عرض فراخی چوڑائ چکلا پن گھیر کشادگی وسعت
breadth	بر پٹ پہن پہنائی تبسُّط چکلائی چَوڑائی عرض چوڑائ پاٹ وسعت
wooer	بر عشق باز
boon	بر غنیمت بخشش احسان عنایت نعمت تحفہ خرم مسرور
leaf	بر پات پاتی پت پتّا پتّر پترا پتوّا پتّہ پتّی پُٹ پرن صحیفہ ورق ورقی برگ پر پرت پتا پتی ورقہ
against	بر برخلاف خِلاف برعکس خلاف مقابل
wasp	بر بِھڑ زنبور بھڑ زننبور
recall	بر جپنا واپس لینا یاد کرنا
forth	بر آگے اب سے باہر
bearer	بر بردار برِندہ بَیرا حامِل حامل
breast	بر چُوچی دُدّھی دُودھی رضاعت سِینہ کَولا چھاتی چار آئینہ سینہ
fiancé	بر منگیتر
continent	برِاعظم دِیپ مُحصن
amphibian	بربحری جل تھلیا
subcontinent	برِصغیر برصغیر
infuriate	برافروختہ قِیامت آگ بگولا کرنا غصہ دلانا اشتعال دینا
furious	برافروختہ بھرا پرچنڈ تامسی تتّا تفت تُند دھڑ شوریدہ قِیامت ممسُوس ہڑکائی غضب ناک ژیان
afire	برانگیختہ آتش گرفتہ جلتا ہوا سوزاں
producer	برآر مُبدِع
favourable	برآر برار بکام تبارُک ساز سازگار سَوبھاگی مُرادی مُساعِد مُوافق موافق گار
compatible	برآر موافق
accomplisher	برآر
compatibility	برآر ہم ہی موافقت
performer	برآر پرداز فاعِل گُزار مُتادّی نواز فاعل
offend	برآشفتہ ٹیڑھا جِزبِز خفا مُتغیِّظ ناراض جز بز کبیدہ خاطر ناخوش رنجیدہ تیڑھا تیڑھی اچاٹ دل کھٹا کرنا جذبات کو ٹھیس پہنچانا
outgoing	برآمد خرچ
export	برآمد نِکاسی نکاس
succeed	برآنا جِیتا جِیتی ذَیلی ہونا کامیاب پار اترنا پورا سر کرنا پھولنا پھلنا
stagnant	برجاماندہ تھیر ٹھہرا فاسد قائم ساکن
promptly	برجستہ بلاتوقف جھٹ فَوری چٹ وقت پر
apposite	برجستہ اہل لائق موافق مناسب
prompt	برجستہ پادررکاب چُگانا زرنگ سِکھانا مُستعِد مُعجّل ہُشکانا آمادہ بروقت چاق و چوبند چست مستعد پھرتیلا شہ دینا ورغلانا
incumbent	برحق لازِم لازِمی واجِب فرض لازم واجب ضروری عہدے دار
justify	برحق حق بہ جانب ننصفانہ
rightful	برحق حقیق مُستحق حق دار
versus	برخلاف خِلاف بل مقابل خلاف
memorize	برزبان
extant	برقرار مَوجود
rebellion	برگشتگی بغی بلوا تمرُّد خُروج سرتابی سرزوری شوریدگی طُغیان بغاوت فساد سرکشی
fulfil	برلانا پُرانا نِباڑنا کامیابی ادا بنانا تحقق عمل سرانجام انجام دینا معیار پر پورا اترنا نبھانا نباہنا
public	برملا پدِید جگ جمہور چارآدمی رِعایا رعیّت عام عامّہ عوام عوامی امانتدار لوگ لنگر رائے عممہ رائج سرکاری وکیل الناس رفاہ
truthfulness	بِر تدیُّن راستی صداقت صفائی محمِدت
vagina	بُر بُل قُبل کُس فرج اندام نہانی غلاف نیام
fuzz	بُر
fluff	بُر
selfish	بُرا مطلبی غرض مند کائیاں خود نفس پرست
misbehave	بُرا بد چلنی کرنا تمیزی
poisonous	بُرا بِسالا بِساہا بِسہا زہری سام مُوذی زہریلا سمیہ زہر آلودہ
abominable	بُرا شنیع لعین مُستکرہ مکروہ کریہہ گھناونا حقیر لعنتی پاپی قبیح
villainous	بُرا طالح لُچ خبیث مفسد شریر
defective	بُرا دوشی عَیبی کھوٹا گرجا مُتناقِص معیُوب مُقصّر مہموز ناقِص عیب دار کچا کم خراب ناقص
insincere	بُرا دغل کپٹ کپٹی بناوٹی بے وفا دو رنگا فریبی غیر مخلص جھوٹا ریا کار اوپری
venomous	بُرا بِسالا بِساہا بِسہا زہری زہریلا گزندہ مسمُوم بس دار بغض بھرا کینہ پرور
tolerable	برابھلا خاصا گوارا غنیمت قابل برداشت
passable	برابھلا سُگم
lamb	برّا برّہ حلوان لیلا برہ بھولا آدمی گاؤدی میمنا سادہ لوح
exact	برابر پٹِیلنا پُورا تنت ٹِھیک چَوکَس زِندہ ستانا عَین کھرتل مُقتضی نِچوڑنا صحیح قی مشابہت محنت طلب سخت عین بالکل پورا زبردستی حاصل کر لینا
concurrently	برابر
parallel	برابر جواب مُتساوی مُتوازی نسیب خط متوازی نظیر مساوی
precise	برابر تنت دُرُست عَین درست عین
constantly	برابر پَیہم دبادب دھڑادھڑ روزبروز سدا لگاتار مارامار مُستقِلاً آئے دن آٹھوں پہر دم بہ لگا تار پیہم
correspond	برابر فراخُور مُراسلتی جواب ملنا مطابقت ہونا خط و کتابت کرنا
direct	برابر بلاواسطہ بِلاواسطہ پتادینا دِکھلانا سِیدھا کُھلا مُستوی مُہتدیٰ توجہ سخت مباشر ہدایت کرنا مبذول عین براہ راست کھلا صاف سیدھا
equipoise	برابری پسانگ توازن دھڑا کرنا
par	برابری جُھرکٹ چِھیلن قُراضہ پار جھڑن چھٹن کترا کترن بہتر ترین معیار
exactness	برابری تحقیق دُرُستی
egality	برابری
bill	برات بِل بھرنا ٹھونگ چِٹھّی چونچ نوک یافتنی حساب
knuckle	براجم بند گِرہ گھٹنے کے بل جھکنا احمق بے وقوف آدمی لغو جوڑ قبضہ انگلی کی ہڈیوں کا ہار ماننا اطاعت کرنا تابع ہونا مارنا تھپ تھپانا گٹا گانٹھ پور
gorgeous	بِراجمان بھڑکیلا فاخر
brilliant	بِراجمان برّاق چٹکیلا درخشاں سوہا مُنیر نُورانی وہّاج بھڑک دار چمکیلا روشن ذہین
preside	بِراجمان بِراجنا صدارت کرنا
fraternal	بِرادرانہ بِرادری
brotherly	بِرادرانہ
fraternally	بِرادرانہ
locality	بِرادری ٹھائوں جگہ مَوقع علاقہ جا جائے وقوع محل محلہ
filing	بُرادہ بُورا چُور ریت چورا
sawdust	بُرادہ بُور بُورا چورا
agreeable	برار بکام بھاتا پذیرا چارُو خوش دِلپسند راضی سازگار سلیس سُہاتا سُہانا طاب گوار گوارا لطیف للِت مُرتضیٰ مُستجاب مُستطاب مطبوع مُوافق مُوجّہ نَوشین مرغوب راس شاداب
motion	براز تکان جُنبش چال چالا چالن چلاؤ چلت چلنت حرک حرکات حرَکت رفتار روِش سرسراہٹ گت حرکت
excrement	براز پاخانہ چھوت سرگیں غائِط فُضلہ گندگی فضلہ نجاست
strongly	برازوری
unpleasantness	بُراس تلخی تنغُّض سنگینی ناخوشی ناگواری
expertise	براعت شِناوری مشّاقی ملکہ ہُنر مہارت مشاقی
renunciation	بِراگ تقشُّف تَوبہ تِیاگ خلع دست برداری
stillness	بِرام چُپ سنّاٹا سُون مُردنی
sharp	بُرّاں بلا بِنَّوٹیا پاکھٹ پانچ پٹُو پُرزہ پکّا پَینا پَینی تتیّا تُند تِیکھا جُست جھپاسیا چترُ چرب چرپرا چرکٹا چوکھا حاد حامِض دھاردار دَھونتال ذلیق رسا رواں زمخت طرّار قاطع کٹیلا مِرچ نز تیز ذکی طرار ذہین
mock	بِرانا بنا بنانا تضحیک جُھٹّل چِڑانا رُسِیانا کِھجانا مضحک ہنسی پکارا جھکتا طناز نمونہ چڑھانا ڈھالنا پگڑی اچھالنا مذاق اڑانا جھوٹی ٹھٹھا
ruse	براوا حربہ حِیلہ دائو چال مکر ترکیب
depravity	بُرائی بھٹک خباثت گُمراہی نجاست
dissipate	برباد بِلانا چھٹنا ضائع گُسار مُنتفی اللے تللے کرنا منتشر
fail	برباد پچھڑنا پَے چُوک چُوکنا خاسِر خامی خائِب ناکام ہارنا ہبوت قاصر کھوٹ خالی جانا ہونا رہ
despoil	برباد چھین لینا غارت زنی کرنا لوٹ
berber	بربر
barbarity	بربریّت وحشت جہالت
savagery	بربریّت وحشیانہ پن
brutalism	بربریّت
barbarism	بربریّت درندگی وحشت
hypocrisy	بربھس بھگل پاکھنڈ تصنُّع تقیہّ دغل دمبھ دورُخی ڈھونگ رِیا ریاکاری زرّاقی زرق زُور سالُوس فَیلسوفی مُداہنت مُنافقت نِفاق عدم خلوص ڈھکوسلا دھوکا جھوٹ مکاری منافقت ریا کاری سالوس ظاہر داری زمانہ سازی
hypocrite	بربھسیا پاکھنڈی دمبھی دوغلا ڈھونگی روکش ریاکار رِیائی سالُوس سیورا مُداہِن مُنافق نِفاختہ ریا کار ظاہر دار
trickster	بربھسیا بہروپیا پیچیا چِھنال خچرّ طرّار فَیلیا نَوٹنکی بازی گر چال باز دھوکے فریبی ہیرا پھیری کرنے والا پچیت
continue	برپا پا ثابِت جاری چلاآنا چلاجانا چلنا دُھنی غابِر قائِم مُتسلسل مُتمادی مُستمِر مُطوّل مسلسل رہنا رکھنا
weal	برَت نِیل بدّھی آسائش فلاح و بہبود خیر خوش حالی سعادت سلامت سرفوت
penance	برَت پرائشچت کفارہ
thong	برَت حمائل پٹی پیٹی
potency	بِرتا داپ طاقت قُدرت قوت
disbursement	برتائو مخارج مصرف
treatment	برتائو سُلُوک برتاؤ علاج سلوک
crockery	برتن
treat	برتنا عمل کرنا برتاؤ علاج مزے کروانا سلوک تذکرہ مفت کا مزہ
employ	برتنا رکھا رکھنا لگانا مُستعمل مصروف مُقرّر استعمال کرنا کام دینا ملازمت نوکری
minaret	بُرج بُرُوج لاٹ لاٹھ ماذنہ منار مِینار مینارہ
turret	بُرج بُرجی گُمّٹ گُمٹی مُمٹی منار
bastion	بُرج گڑگج گُمّٹ گُھوگس گھونچا
tower	بُرج گُمّٹ منار آخری بہت اونچا انتہائ برج مینار قلعہ
prohibit	برجنا حرام روکنا محجور محظوُر مُمتنع ممنوع منع مُنکر منہی ہارِج حظر لگانا بھرا منحصر کرنا تب محروم ناجائز قرار دینا
disallow	برجنا نٹنا نامنظور
detain	برجنا بِلمانا تھامنا دھرنا روکنا حراست میں لینا رکھ
spear	برچخ بھالا پرسول سِنان نیزہ برچھا بلّم
lance	برچھا بلّم نیزہ بھالا بلم برچھی
javelin	برچھا حربہ نیزہ
spearman	برچَھیت پِھکَیت
lancer	برچَھیت پِھکَیت نیزہ بردار نیزے باز
some	برخ بعض بعضا چند چندے دو کِتنا کُچھ کوئی کو کمی کچھ ایک کئ کسی کوئ تھوڑا
ox	برَد بقر بلد بَیل پٹھَورا دھوری گاو گردُوں گورُو بیل سانڈ
winter	برد ٹھنڈ جڑ جل زمِستان سردی سرما سِیالا شِتا شِیت قِشلاق ہِم جاڑا زمستان
chilliness	برد ٹِھٹھر سردی سِیت
coldness	برد بُرُودت ٹھنڈک جاڑا جڑتا جل خُنکی روکھاپن زم سردی شِیت غَیریّت خنکی رکھائ ٹھنڈ
catch	بُرد پکڑا پکڑائی پکڑنا جھیلنا شِکار گونچنا لپکنا لینا ہیرنا جاتی لانا دم آ جا گرفتار پھانس پھانسنا سنبھالنا اچکنا دھوکا جال نشانی
haul	بُرد ڈھونا گھسیٹنا پکڑنا زبردستی سے کھینچنا
patience	برداشت بُردباری پِتّا تاَنّی تحمُّل تمکین تھاوس ثبات حِلم دِھیرَج رزانت سمائی سہار سہن شِکیب شِکیبائی صابِری صبوری ظرفیت عزا مُصابرت صبر ڈھارس متانت قرار
sufferance	برداشت صبر اذیت دکھ تکلیف
tolerant	بُردبار حلِیم روادار ضابِط مُتحمِّل متحمل
meek	بُردبار بھیڑ گائے مِسکین مُنکسِر نِمانا مسکین نرم مزاج نیک
toleration	بُردباری تحمُّل حِلم برداشت تاب
forbearance	بُردباری تحمُّل حِلم سمائی صبر صبوری غرِیز متانت پرہیز رحم ظرفا
mildness	بُردباری توقُّر حِلم سُہُولت مُلائمت نرمی
sew	بردوختہ ٹانکابھرنا دوختہ سِینا سلنا الگ کرنا پھاڑنا بعض چند کئ بخیہ سینا سلانا ٹانکے لگانا
transfix	بردوختہ پرچین پِرونا چھیدنا دوختہ دوز گڑونا چبھونا
impale	بردوختہ احاطہ بندی کرنا کٹہرا لگانا مقفس
wrench	بُردہ چِھیننا اینٹھن والا مروڑ دار موچ پانا مروڑنا زبردستی کرنا
papyrus	بردی پٹیر
thrive	بِردھان بڑھتا بڑھنا پلنا پنپنا نِہال فروغ پانا پھلنا پھولنا پروان چڑھنا شاداب
purgatory	برزخ
fashion	برزخ بنانا بھانت تراش ٹھاٹ جَت چال چلن دستُور دھج راہ رِواج روِش رِیت شکل شُؤُن طرز طَور لٹک وضع قطع کرنا دینا بنت ڈھب رنگ روش طریقہ ٹھاٹھ
street	برزن راستہ سڑک شُہدا کُو کھور گلیارا گلیوں گیل گلی کوچہ
pleurisy	برسام
brazier	بُرسی بھرتیا کسیر منقل انگیٹھی ٹھٹھیرا
sing	بِرِشتہ بِریاں پِربھاتی پھُکا ترنّم ٹیرنا جُھلسا چہچہانا چہکنا خُنیا دگدھ زمزمہ سرا سرائی سرایندہ سُرُود صفیری غِنا غِنائی گا مٹھار مُطرِبی نایک گانا ترننم
fry	بِرِشتہ بِریاں بِھرِشٹ بھُوننا پونا تَلا تلائی تلی رَوغنی تابہ کڑاہی تلنا بچے چھوٹی مچھلی
broil	بِرِشتہ بھُوننا
roast	بِرِشتہ بِریاں بِھرِشٹ بھُون بھُونا بھُوننا مشوی بھوننا سیخ کرنا
britain	برطانیہ
avidly	برغبت
eagerly	برغبت مُشتاقانہ
ice	برف برفاب تُسار جلید جما ہوا یخ بستہ قلفی
snow	برف تُسار ٹھار ہِم یخ
snowy	برفانی برفیلا
hydroelectricity	برقاب
hydroelectric	برقابی برق آبی پشتہ
electrify	برقانا بجلی لگانا
electrification	برقائو تبریق
burka	بُرقع
cloak	بُرقع جُبّہ چُغہ چوغہ چولا حُلّہ رِدا عبا لبادہ فرغل چڑھنا سوار ہونا
electromagnet	برقناطیس
electrology	برقیات
telegram	برقیہ تار تعجیلی
volcano	برکان آتش فشاں جوالا مکھی
pool	بِرکہ پوکھر پُول پَین تال تالاب تلّہ ٹابر چُقّر چھپری چھپّڑ ڈابر ڈبرا ڈَہرا غدیر کُنڈ گُنٹا
morsel	بُرکی ٹکڑا ٹُوک طُعمہ کَور کوَل گِراس لُقمہ مُضغہ نِوالہ لقمہ نوالہ
leafage	برگ
leaflet	برگچہ پرچہ ورقہ
apostatize	برگشتہ
mutinous	برگشتہ غدّار باغیانہ سرکشانہ
rebel	برگشتہ باغی سرتاب
perverse	بِرلا ٹانچ ٹانچڑا جھکّڑ دُشٹ صعب کج کہ فہم خراب
eccentric	بِرلا جھکّی سنکی انوکھا بے مرکز سرا
scarce	بِرلا نایاب کمیاب کمزور مفقود نادر کم یاب تھوڑا عنقا
drill	برما برمانا بَیرم دلیل سالنا قواعد کاری سوراخ کرنا قوائد
gimlet	برما سُوجا
class	برن بھانت پائے جات جِنس خانہ درجہ دفعہ زُمرہ صف طبقات قبیلہ گِروہ مدارِج نَوع یاوری مرتبہ گروپ شعب ہم جماعت فرقہ گروہ قبیل طبقہ زمرہ
alluvium	برن بھاٹ چہاڑ چھاڑ کیچڑ اور مٹی کی تہہ
hue	برن رنگت صِبغت لَون چپقلش ہانک پکار ہلڑ رنگ دار فام کسی کی جھلک بانگ غوغا شور
feature	برن چِنھ خدوخال صِفت قِیافہ نقشہ نُقُوش فرماں روا خصوصیت نمایاں کرد فتا نمونہ اعلی مش ور حلیہ ناک نقش روپ شکل صفت
anklet	برنجن بیڑی پَیری جلاجِل چھاگل کڑا پازیب پائل پایل
bracelet	برنجن بند سُمرن کڑا کنگن کنگنا
nail	بِرنجہ کِلّی کِیل کِیلی کُھونٹا گُونج مِسمار میخ ناخُن نک نُہٹّا کیل مسمار ناخن
brazen	بِرنجی پِیتلا چپڑاؤُ
slasher	بُرِندہ
cutter	بُرِندہ سروتا کترنی مُقاطع
bell	برنگ جلاجِل دِرا کسکُٹ گھڑیال گھن گھنٹہ کانسی گھنٹا گھنٹی جرس ناقوس ٹنٹنی
key	برنگ تالی چابی کِلید کُنجی کِیلی مِفتاح مفتاح چابیاں قفل چابیوں کا چھلا کنجیوں کلید کنجی تفسیر چٹانوں سلسلہ مونگون جزیرہ اہم لفظ کلیدی
bolt	برنگ بیلنی تالک دربستہ زُلفی قابلہ کابلا کِلّی کُنڈی کَوندا مُوسلا چٹخنی
rafter	برنگا بڑنگا بڑَیرا ترَک دھنّی سقفی کڑی لٹّھا لٹھا
eyelash	برنی مِژگاں مِژہ مژگان پلک
ragini	بروا راگنی
boy	بِروا بیٹا پِسر پُونگڑا ٹابر چھورا چھوکرا چَھونا چَھیّا کَودک کھوکھا لال للّا لمڈا لَونڈا لَونڈے لڑکا بچہ غلام نوکر پسر پوت
plant	بِروا بُونٹا بِیجنا پیڑ جھاڑ چھاڑ دبانا رُستنی روپنا گاڑنا لگانا لگنا لُنڈا نبات نصب بونا گڑا جما اگا آباد کرنا بیج ڈالنا لانا پودا ذہن نشین اگانا لٹھ کار خانہ نم
moustache	بُرُوت خط شارِب لبیں مُوچھ مُونچھ مونچھ
whisker	بُرُوت شارِب مُونچھ گل مچھے
vestibule	بروٹھا جناب دہلیز دالان
porch	بروٹھا ڈیوڑھی رواق
chillness	بُرُودت
kid	برّہ بزغالہ بُزغالہ بکرَوٹا جدی چِلّر حلوان لیلا میمنا بچہ بکری کا نو عمر چھیڑنا دق کرنا مذاق
fawn	برّہ بھٹئی چاپلُوسی خاستائی غزال ہِرنَوٹا خوشامدی چاپلوسی کرنا جوتی چکنا ہرن کا بچہ
absence	بِرہا پِیچھا جُدائی خلا سلب غِیاب غَیبت مہجوری فقد محدودیت غیاب عدم موجودگی فراق فقدان فرقت جدائ ناغہ
conclusiveness	بُرہان قطعیّت
thursday	بِرہسپت پنجشنبہ جُمعرات خمیس ھفتھ جمعرات پنج شنبہ
displease	برہم بیزار جِزبِز خفا رُلانا سرگراں فرنٹ ملُول مُنقبِض ناخوش ناشاد ناراض نفُور الگ بے زار جز بز کبیدہ کشیدہ رنجیدہ تیڑھا تیڑھی دل کھٹا کرنا رلانا ناپسند
messy	برہم پُھوہڑ
disarray	برہم ہڑبَونگ
discompose	برہم
world	برہمانڈ بھُو بھُوم پرتھوی جگ جگت جگتیَ خرابات خلقت دُنیا دھرنی زمانہ سِپہر سنسار عالمین عوالم کَون لوک مایا ہستی دنیا قدرت جہانی جنگ عالم ہفت اقلیم گیہان گیتی جہاں طبق
globe	برہمانڈ پرمنڈل دھرنی کٹارا کُرہ گولا گیند کرہ ۃالارض
cosmos	برہمانڈ
bareness	برہنگی تعریہ
nakedness	برہنگی عُریانی ننگاپن بنجر پن سادگی عریانی
acquit	بری
exonerate	بری مُبرّا
biryani	بِریانی
exoneration	برِیّت چُھٹکارا
launderer	بریٹھا حواری دھوبی
washerman	بریٹھا دھوبی قصّار گازُر
galbanum	بِریجہ
mail	برید ڈاک زِرہ کا ڈبہ گاڑی کرایہ بکتر ذرہ زرہ پہنانا تھیلا
clip	بُریدہ تراش تراشنا ٹِیپ چھانٹ چھانٹنا کتربیونت کترنا مُقرّض کاٹنا کترا کترن قلم کرنا قطع گھیرنا قابو میں رکھنا
amputate	بُریدہ کاٹ دینا قلم کر
chop	بُریدہ چانپ فوراً وقت پر بھٹیار خانہ ٹکڑے اڑا دینا کاٹنا قلم کرنا گوشت کا ٹکڑا چاپ مہر
dazzle	بریق تِرمرانا جگجگانا جگمگا جگمگاہٹ جھبکانا چکچکا چُندھیانا چَوندھیانا خِیرہ رخشاں رخشِندہ خیرہ بد حواسی چکاچوند خیرگی آب دار کرنے والی کن رخشان
grand	بریں بہاردار شاندار عالی عظیم عُمدہ کابِر کُبریٰ کوہ مُحتشم امیرانہ بڑا کلاں شان اعلا اہم اعظم الشان با عظمت نفیس نمائشی قابل احترام صدر دار
sublime	بریں بلند بُوند ثاقِب دُور دیوزاد رفِیع عالی عُلوی مُتعال مُعلّیٰ مُنیف رفیع ثاقب
claptrap	بڑبڑ دکھاوا خود نمائ ظاہر داری
mutter	بڑبڑ بڑبڑانا بڑبڑاہٹ بلکنا چُرمُرانا کُڑکُڑانا بُدبُدانا
gloat	بڑبول بمکنا فاخرانہ انداز سے نظر ڈالنا للچائ نیت بد شمات
overmuch	بڑا
huge	بڑا بِکٹ پہاڑ جرّار جِنّاتی جنگی جہازی دیوپیکر دیوہیکل ژندہ کوہ وِشال بہا سخت کبڑا بہت بھاری جسیم کبیر خطیر
immense	بڑا شائِگان لامتناہی لامحدود بے کران کبیر
senior	بڑا بُزرگ کبیر انسانی عمر پرانی بزرگ پہلے
burra	بڑا
eld	بڑا جیٹھا
big	بڑا بڑی پِین جزیل جنگی زبر شِکمی عُظّام کلاں موٹا مہت نکُّو نکوڑا وڈّا وِشال لڑکا بگڑا عظیم ترین کلان خطیر
enlargement	بڑاوٹ تَوسیع توسیع
bigness	بڑائی پردھانتا عِظم عظمت بڑائ ضخامت
largeness	بڑائی افراط عظمت بڑائ بہتات بزرگی فیاضی جسامت کرم کثرت کشادہ دلی کشادگی پھیلاؤ وسعت
magnanimity	بڑائی پرتاپ عالی ظرفی بلند نظری کلیجہ شرف النفس
applause	بڑائی تحسین شاباش شاباشی مدیح داد جملوں پر احترام تک پرخ تعریف
extent	بڑائی بِساط بِستار پھَیلاوٹ تبسُّط حد عرض غایت وُسعت بساط پہنچ وسعت
grumbler	بڑبڑیا
mutterer	بڑبڑیا
chatterer	بڑبڑیا بکّی جھکّی چخیا جھکی
halfwit	بڑبک
dotage	بُڑبھس بڑھاپا سٹھیاپا
bite	بُڑک بھنبھوڑنا چبانا چُٹکنا چُٹیانا کاٹنا کٹکا گزندہ ڈسنا پھن مارنا دانت کاٹ کھانا گلن
clutch	بُڑکا پالا پنجہ تھامنا جکڑ چنگُل چھاپنا دبوچنا گِرِفت مُٹھ مُٹھّی لپکنا پکڑنا قبضہ کرنا چنگل گرفت ہاتھ مٹھی پھنندا
dive	بُڑکی بُوڑنا پاغوش دبّا ڈُبک ڈُبّی ڈُوب غوّاصی غوط غوطہ ڈبونا دینا ڈبکی لگانا خوری کرنا
plunge	بُڑکی پاغوش دبّا ڈبکی لگانا
enter	بڑنا پَیٹھانا پَیٹھنا حُلُول داخِل دُخُول دھسکنا دھسنا گُھسنا لِکھنا مُدخل مدخُول مُندرِج داخل درج گھسنا اندر آنا کرنا پڑنا رقم
warped	بِڑنگا
misshapen	بِڑنگا بِہنگم بھدّا ڈھبّس مسخ بدہیئت بد ہئیت شدہ
grotesque	بِڑنگا ان گھڑ
expand	بڑھانا بڑھنا بِکسنا پخش پسارنا پھَیلا پھَیلانا پھَیلنا چَوڑا چَوڑانا کُشا کُشُود کُھلا کھولنا لمبا مبسوط مُنبسط واشُدہ تکایا گیا پھیلایا کھلا پھیلانا
forward	بڑھانا دِھرِشٹ ترسیل آگے کی جانب پیش سامنے
postpone	بڑھانا تعویق ٹالنا ٹلنا سرکانا لٹکانا مُلتوی مُؤخّر مَوقُوف ہٹانا ملتوی کرنا پہلو تہی پس پشت ڈالنا
proffer	بڑھانا پیش کرنا خدمت
encourage	بڑھانا ہُلسانا ڈھارس دینا دل رکھنا حوصلہ افزائ کرنا ہمت جی پیٹھ ٹھونکنا پشت پناہی افزا
exaggerate	بڑھانا حاشیہ چڑھانا مباغہ کرنا پل باندھنا
aggrandize	بڑھانا
superfluity	بڑھائو زوائِد فاضِلات
advancement	بڑھائی ترقّی رُقی فروغ بڑھاوا برتری پیش قدمی ترقی
accelerando	بڑھت
prosper	بڑھنا پنپنا پھلنا جمنا فروغ پانا خوش حال بننا پھولنا پروان چڑھنا ستارہ چمکنا
accumulate	بڑھنا سنگوانا فراہم مُتراکِم مُجتمع مضموم ہِلورنا جمع شدہ ڈھیر لگانا کرنا سمیٹنا
adulthood	بڑھوار بُلُوغ
expensive	بڑھیا گِراں مہنگا قیمتی
multiply	بڑھیّا مُتزایِد مُضاعف مضروب نسل بڑھانا کشی کرنا تعداد ضرب دینا بڑھنا
dolt	بزِاخفش جُلاہا گِیدی مُچھندر ابلہ بے وقوف غبی
ibis	بُزّا بوزا
draper	بزاز
clothier	بزاز جامہ فروش کپڑے والا
spittle	بُزاق تفل تُھوک رال رِیق کف تھوک
timid	بُزدل بودا پاداپَونی پِلپِلا ترساں ترسیدہ جبان چَونکیل خاشی دبکَیل دبُّو ڈرپوک کاتر کایر کچیا ہگوڑا بزدل کچا خائف
cowardly	بُزدل بُزدلانہ بودا پاداپَونی پِٹیل پِدّی پِلپِلا جبان چَونکیل خاشی دبکَیل دبَیل ڈرپوک کاتر کایر گِیدی لینڈی ماٹھا نامرد ہگاسا ہگوڑا ہیٹا ہِیجڑا ہِیز بزدلانہ نامراد
coward	بُزدل بنیا بِیلا بھگوّ جبان کچّا گانڈُو گِیدڑ نافِر بزدل ڈر پوک نامرد
cowardice	بُزدلی جبانت جُبن نامردی ہیٹاپن بزدلی ہٹیا پن
reverend	بُزرگ محترم معظم
fatherly	بُزرگانہ پِدرانہ پدرانہ
sagely	بُزرگانہ حکیمانہ
avuncular	بُزرگانہ چچا زاد ماموں
sanctity	بُزرگواری تقدُّس حُرمت قُدس مشائخی وِلایت حرمت
agedness	بُزرگی
surgery	بزل جراحت جرّاحی جراحی
leveller	بزن
perforce	بزور لاچار مجبوراً خوامخواہ
beneath	بزیر پائِیں تحت تلے فُرود نِیچے میں نیچے ذیل زیر
below	بزیر پست تحت تلے زیر شیب فِرو نِیچے مندرجہ ذیل نیچے پائن
sufficient	بس بہتیرا پُورا قط کفاف معتدبہ مُکتفی کافی
poison	بِس بِکھ جانگُل دُھولک کِھلانا مسمُوم وِس وِش زہر سم بس سنکھا
venom	بِس بِکھ جانگُل زہر سم بس
marrow	بسا گُودا مُخ مغز نلی آڑ جوڑ ساتھی یار گودا لب قلب
fat	بسا بھاری بُھچرا بھرکم بھمبُو بھمبو پی پِین پھپسا تیارّ چرب چربِش چونچُو دسِم دُلدُل دُنّاب دھبّل دُھمپال دِھینگ ڈبکا ڈبل ڈبلُو ڈفیَل ڈھبُوس سانڈ سمن سمین سنڈا لحیم مُٹلّو مُسمّن چربی فربہ موٹا چاق جسیم پھپپھس چکنائ پیپا ٹنکی
mostly	بسا اکثر بیش تر عموماً
putrid	بُسا بھگرا پُھساہِندا سڑا گلاسڑا گلی
putrefied	بُسا
stock	بِسات بھانڈ پُونجی پَیتاوہ تھان جمع چانپ چکمہ روکڑ کاٹھ کُندا کُندہ کھتّا موزہ ہڑ پاتابہ جُرّاب انبار اصل کندہ مال نسل یخنی ذخیرہ ضریت جراب
forget	بِسارنا بِسرا بِسرانا بِسرنا بُھلانا بھُولا بھُولنا ذہل فراموش بھلانا بھولنا طاق نسیان بھولا ہوا
