english	urdu
new fashioned	حال ہی میں مروج
newish	جدید انداز کا نئے طرز پر
newly arrived	نو وارد
newly	ابھی ابھی حال ہی میں نو تازہ تازہ
newlywed	نو بیاہتا شخص
new moon	ہلال ماہ نو نیا چاند
newness	ایجاد اختراع جددت نیا پن تازگی
news agency	خبر رساں ادارہ
newsboy	اخبار فروش وہ لڑکا جو اخبار بیچتا یا پہنچاتا ہو
newsbreak	کوئ قابل خبر حادثہ, ماجرا,سانحہ, واقعہ
newscaster	خبریں نشر کرنے والا ناشر اخبار
newscast	خبر نامہ نشر اخبار
news conference	اخباری اجلاس
new settler	آباد کار
newsgirl	خبریں سنانے والی
newsletter	خبر نامہ پرچہ اطلاع نامہ
newsman	اخبار فروش خبر نگار نامہ نگار صحافی
newsmonger	بے سر و پا باتیں کرنے والا گپ باز گپی غپپی لپڑیا
newspaperman	اخباری نامہ نگار اخباری نمائندہ
newspaper	اخبار جریدہ پرچہ روز نامہ
newspaper writer	اخبار نویس
newspeak	نئی بولی
newsprint	اخباری کاغذ چھپائ کا سستا کاغذ
newsreel	تصویری خبر نامہ
news stall	اخباری چبوترا, دکانچہ, تھڑا
news stand	اخباری چبوترا, دکانچہ, تھڑا
news	اخبار یا نشریہ بات اطلاع خبریں پیغام
newsworthy	اہم یا دلچسپی کی حامل خبر قابل خبر
New Testament	عہد نامہ جدید انجیل
new	حادس حالیہ جدید کورا نو نیا نویلا نویلی تازہ تازی
New Year's Day	نو روز نئے سال کا پہلا دن
new year	سال نو نیا سال
next door	ملحق ہم سایہ
next of kin	خونی رشتے دار وارث قریب ترین رشتے دار
next to nothing	برائے نام
next to	فوری ما بعد آنےوالا ملحق
next	آس پاس اگلا آیندہ برابر دوسرا ما بعد متصل ملا ہوا نزدیک نیچے والا اوپر والا پرلا پیوستہ قریب ترین
nexus	علاقہ بندھن کڑی لگاؤ مربوط سلسلہ رابطہ تعلق واسطہ
nibble	کانٹنا کھٹکنا کترنا کتر کے کھانا
nibs	خود بین مغرور تحکم پسند
nib	ڈنک درانتی کا پھل کوئ نوک دار سرا نوک پرندے کی چونچ پتی قلم کی نوک قت
nicely	نفاست سے عمدگی سے
niceness	باریکی باریک بینی خوبی مو شگافی نفاست نزاکت نقطہ دانی ستھرائ
nicety	باریکی لطیف امتیاز نزاکت نازک فرق
nice	دقیق دلکش گوارہ خوشگوار لذیذ مہربان معزز شائستہ عمدہ
niche	آلہ جھروکا جوف کمان چہ خلا کونا مقام مرتبہ طاقچہ
nicker	دندانہ یا نشان بنانے والا لٹیرا اچکا اٹھائ گیرا ہنسی قہقہہ
nickname	لقب دینا نام دھرنا لاڈ پیار کا نام لقب عرف
nick	چرانا دانتا بنانا گننا شمار کرنا عین موقعہ عین وقت دانتا دندانہ گنتی قعر شمار
nicotine	تمباکو کا زہر
nidify	گھونسلا بنانا
nidus	بیضہ گاہ گھونسلا مرکز نم گاہ نشیمن
niece	بھانجی بھتیجی
niellist	سیاہ قلم کار
niello	سیاہ مینا کاری
nifty	بانکا چلتا پرزہ کائیاں کھرا پھرتیلا
Nigella	کرئل کلونجی
niggardliness	بخل کنجوسی کنجوس پن
niggardly	بخیل خسیس لالچی
niggard	بخیل کمینہ کنجوس لالچی
niggle	بال کی کھال نکالنا
niggling	فضول کام میں وقت ضائع کرنا مضطرب ہو کر چلنا
night assault	شب خون
night blindness	شب کوری رتوندھا
night blind	رات کو نہ دیکھ سکنے والا شب کور
night cap	مے شبینہ شب خوابی کی ٹوپی
night clothes	شب خوابی کا لباس
night club	شبینہ کلب
night dress	شبینہ لباس
nightfall	آغاز شب آغاز دن کا اختتام رات کی آمد شام
night gown	جامہئ شب
nighthawk	پششہ خوار ظالم
nightingale	عندلیب بلبل ہزار داستان
nightlong	رات بھر شب بھر
nightly	شبانہ
nightmare	ڈراؤنا خواب کابوس
nightmarish	بھیانک دہشت انگیز ہولناک کابوسی
night owl	شب بے دار
night shirt	شبینہ قمیض
night's lodging	بسیرا
night soil	فضلہ غلاظت
night time	ہنگام شب رات
night walker	شب گرد شب رو
night	لیل رات شب
nigh	نزدیک قریب
nigrescence	کالا پن سیاہی
nihilism	عدمیت فنایت انکار کل
nihilistic	عدمی فنائ لاوجودیتی
nihil	عدم
Nike	جیت کی دیوی
nill	انکار کرنا
nil	نادارد نہیں صفر
nimbleness	لپ جھپ پھرتی سبک رفتاری تیزی
nimble	چابک دست چالاک چست خفیف پھرتیلا سبک تیز ذہن
nimbus	ہالہ
nimiety	افراط کثرت تجاوز زیادتی
nincompoop	بے وقوف بدھو گاؤدی کوڑہ مغز
ninefold	نو گنا
nine	نو
ninth	نواں
nipper	دسپنا چمٹی سنسی
nipping	چببھتی ہوئ سخت تیز
nipple	چسنی گات سر پستان
nip	چھین لینا چٹکی لینا جھپٹ لینا مسوسنا چسکی گھونٹ جرعہ
nit picking	نقطہ چینی کرنا شدید تنقید کرنا
nitre	شورہ
nit	جون جوں کا انڈا لیکھ
nitwit	احمق بدھو کوڑہ مغز
nival	برفانی
nix	ہیچ نہیں
nobble	بے ایمانی کر کے جیتنا دھوکا دینا
nobby	اول درجے کا خوش پوش شائستہ تیز طرار
nobility	امیری اعلا اخلاق عالی خاندانی بزرگی فخر نجابت نوابی شرافت طبقہ امرا
nobleman	امیر امیر زادہ
nobleness	عالی ظرفی عظمت بڑائ کرامت شریف النفسی
noblesse oblige	عالی ظرفی کا رویہ اختیار کرنے کا فرض
noblesse	اعلا درجہ کے لوگ اشراف
nobles	شرفا
noble	اعلا مرتبہ بزرگ حسن خاص مشہور نامی گرامی نجیب شریف عمدہ
noblewoman	عالی مرتبہ عورت
nobly	عالی ظرفی سے شرافت سے
nobody	کم حیثیت کوئ نہیں
nob	مالدار صاحب اثر صاحب امتیاز
nocent	اذیت رساں مضر ضرر رساں
nock	دانتا سفار
nocturnally	رات کو شبانہ طور پر
nocturnal	شبانہ شبینہ
nocuous	مخرب اخلاق مضر
nodality	گرہ داری
nodal	گٹھیلا گرہ دار گرہ یا گلٹی سے متعلق
noddle	چندیا گدی کھوپڑی منڈیا قفا
node	دنبل گانٹھ گھنڈی گلٹی گرہ گمڑی راس سوجن ابھار عقدہ ورم
nodose	گرہ دار گلٹی دار گٹھیلا
nodosity	گانٹھ گرہ داری
nodular	گرہ دار کنکریلی
nodule	ڈلا چھوٹی سی گرہ کنکر عقدہ
nodus	مسئلہ پیچیدہ نقطہ عقدہ
nod	نیند کے جھوکے لینا قبول کرنا سر ہلانا جھکانا ایما قبولیت تصدیق
noetic	عقلی معقول ذہنی
nogging	دھجی بھرائ درز بھرائ
noggin	چھوٹا پیالہ انسانی کھوپڑی
nog	چوبی کھونٹی اینٹ میخ
nohow	قطعی نہیں
noil	اون کا ریشہ پھرسڑا
noiseful	با آواز
noiselessly	خاموشی سے
noiselessness	بے آوازی خاموشی
noiseless	بے آہٹ بے آواز خاموش
noisemaker	شور مچانے والا
noise	بے ہنگم آواز چپقلش دھوم ہلڑ پخ پکار اونچی آواز شور شور شرابا
noisily	شور غوغا کے ساتھ شور مچا کر
noisomely	ناگواری سے
noisomeness	گھن کراہت مضرت رسانی ناگواری
noisome	بدبو دار مضر مضر صحت نقصان دہ
noisy	بہت شور مچانے والا کلے دراز پرشور
nomadic	بدو خانہ بدوش
nomadism	خانہ بدوشی صحرا نوردی
nomad	آوارہ گرد بدو بنجارہ خانہ بدوش
no man's land	غیر آباد زمین متنازع علاقہ
nom de guerre	فرضی نام جنگی نام
nom de plume	تخلص
nomenclator	نام دینے والا تسمیہ کار
nomenclature	اسم بندی ناموں کی فہرست نظام تسمیہ
nominally	برائے نام محض نام کے لئے
nominal price	مفروضہ قیمت
nominal wages	ظاہری اجرت
nominal	آٹے میں نمک برائے نام فرضی صرف نام کو
nominate	نامزد کرنا
nomination	نامزدگی نامزدگی کا عمل
nominative	فاعل نامزدہ
nominator	نامزد کرنے والا نامزد کنندہ
nominee	منتخب شدہ مسمی نامزدہ شخص
nomism	شرع شریعت
nomistic	شرعی
nomocracy	قانونی حکومت
nomography	ترسیم نگاری
nomologist	قانونی یات کا ماہر
nomology	قانونی یات عمومیات
nomothetic	کلی یاتی قانون ساز شارع
non ability	ناقابلیت
nonabrasive	ناخراشندہ
non absorbent	غیر جاذب
non acceptance	عدم قبولیت
non adhesive	ناچپکنے والا
nonadjacent	غیر ملحق
non administrative	غیر انتظامی
nonagenarian	نوے سالہ
nonagesimal	نو واں
nonage	عدم بلوغت بالک پن کم سنی لڑکپن نابالغی
non aggression	عدم جارحیت
non alcoholic	غیر الکحلی
non appearance	عدم موجودگی غیر حاضری
non attendance	غیر حاضری
non attention	بے چوکسی بے خیالی غیر انہماکی
non believer	کافر ملحد منکر
non belligerent	غیر متحرب
nonce	موجود موقعہ وقتی طور پر
nonchalance	بے غرضی بے پرواہی لاتعلقی
nonchalantly	بے پروائ سے ٹھنڈے دل سے
nonchalant	بے غرض بے پرواہ چپ چاپ لاتعلق
non combatant	غیر لڑاکا غیر محارب
non combustible	غیر آتش گیر جو جلدی آگ نہ پکڑے
noncommittally	غیر وابستہ طور پر
noncommittal	بے وعدہ غیر وابستہ ناپابند
non communicable	غیر متعددی ناقابل ابلاغ ناقابل ترسیل
non compliance	عدم تعمیل نافرمانی سرتابی
non compliant	نافرمان
non compromising	غیر مصالحانہ
non conductor	غیر موصل
nonconforming	بے پیروی
nonconformist	غیر مقلد
nonconformity	عدم اتفاق عدم مطابقت
non contagious	غیر متعددی
non cooperation	عدم اشتراک عدم تعاون
non cooperative	نامساعد
non corrosive	غیر اکال
non deductible	ناقابل تفریق
non delivery	عدم حوالگی عدم تقسیم
nondependibility	غیر قابل اعتمادیت
nondescript	آدھا تیتر آدھا بٹیر انوکھا نرالا
non destructive	غیر تخریبی
non distinctive	غیر ممیز
non effective	غیر مؤثر ناکارہ
non efficient	نااہل ناکار گزار
nonego	غیر انا
non electric	جس میں سے بجلی نہ گزر سکے
non elect	غیر منتخب
nonentity	عدم عدم وجود غیر حقیقی غیر موجود ہیچ ناپید نیستی
nonessential	غیر ضروری
nonetheless	اما پھر بھی تا ہم
none	کوئ نہیں کچھ نہیں
non execution	عدم تعمیل
non existence	عدم عدم وجود نیستی
non existent	غیر موجود
non fattening	جو موٹا نہ کرے
nonfeasance	ترک فعل
non ferrous	غیر آہنی
non fiction	غیر افسانوی
non flammable	آسانی سے نہ جلنے والا
nonfulfilment	غیر تکمیلی ناادائیگی
nonhereditary	غیر موروثی غیر وراثتی
non inductive	غیر امالی
non inflammable	غیر آتش گیر جو جل نہ سکے
non intervention	عدم مداخلت
non intoxicant	جو نشہ نہ دے سکے
non linear	غیر خطی غیر قطاری
non metallic	غیر دھاتی
non metal	غیر دھات
non objective	غیر ترسیمی تجریدی
non observance	نظر اندازی
nonpareil	بے نظیر
non partisanship	غیر طرف داری غیر وا بستگی
non partisan	غیر وابستہ واقفیت
non payment	عدم ادائیگی
non permanent	کچا وقتی
nonplus	بوکھلا دینا بری طرح گڑ بڑانا حیرانی حیرت زدگی تذبذب
non presence	عدم موجودگی
non productive	غیر پیدا واری
non productivity	عدم پیدا واریت
non profit	بلا منافع خیراتی
non proliferation	عدم توسیع
nonreligious	بے دینی غیر مذہبی
non removable	جسے ہٹایا یا مٹایا نہ جا سکے ناقابل صفائ
non renewable	ناقابل تجدید
non representational	غیر معروضی غیر نمائندہ تجریدی
non residency	غیر اقامت پزیری
non residential	غیر اقامتی غیر سکونتی
non resident	غیر اقامت پزیر
non resistance	عدم ممانعت عدم مزاحمت
non resistant	غیر مانع غیر مزاحم
non restrictive	آزاد بے روک ٹوک غیر مقید
non returnable	ناقابل واپسی
non rigid	غیر استوار جو سخت نہ ہو
non scheduled	غیر فہرستی غیر جدولی
non segregated	مدغم متصل سالم
nonsense	آئیں بائیں اناپ شناپ الم غلم بکواس خرافات لغویت مجذوب کی بڑ مہمل مہملات واہی ذٹل
nonsensical	بے ہودہ لغو مہمل واہی
non service	عدم تعمیل
non skid	جو نہ پھسل سکے
non smoker	غیر تمباکو نوش
non smoking	جہاں تمباکو نوشی کی اجازت نہ ہو
non standard	غیر معیاری غیر مسلم
non statutory	غیر آئینی
non stop	بلا رکے غیر موقف
non suit	دعویٰ جسے روک دیا جائے دعویٰ جسے واپس لے لیا جائے
non taxable	ناقابل محصول مستثنیٰ از محصول
non transferable	غیر منقولہ ناقابل انتقال
nonuser	حق یا مراعات کا عدم استعمال
non verbal	غیر لفظی
nonviable	غیر ثابت ناقابل حیات
non violence	عدم تشدد
non violent	غیر متشدد
non volatile	غیر بخاراتی غیر متبدل
non	غیر نا
non white	غیر سفید فام
noodle	انڈے ملے بے خمیر آٹے کی سویان گاؤدی
nook	الگ تھلگ گوشہ کونا تنگ جگہ
noonday	دو پہر کا وقت کسی کا زمانہ عروج
no one	کوئ نہیں
noontide	دو پہر کا وقت
noon	دو پہر
noose	حلقہ پھندا پھانسی سرک پھندا
nope!	لا نہ نہیں
noria	دلاب ایرانی چرخی ناعور رہٹ
normalcy	با قاعدگی معمول
normalisation	معمول پر لانے کا عمل
normalise	معمول پر لانا
normality	با قاعدگی معمولیت طبعی حالت
normally	عام طور پر حسب قاعدہ معمولاً طبعاً عموماً
normal	اوسط با قاعدہ فطری حسب معمول معمولی عمودی ذی شعور عام معیار تناسب عمود
normatively	عام طور پر با قاعدگی سے حسب معیار
normative	معیاری معیار بندی سے متعلق
norm	معیار مثالی قاعدہ سانچا
northbound	شمال کی سمت رواں
northeasterner	شمال مشرقی علاقے کا باسی یا باشندہ
northerly	شمالی شمال سے متعلق
northerner	شمالی با شندے
Northern Hemisphere	نصف کرہ شمالی
northern lights	انوار شمالی شمالی قطب روشنی
northernmost	انتہائ شمالی
northern	شمالی شمال کا شمال میں واقع
norther	باد شمال شمالی ہوا
northing	عرض شمالی شمالیہ
northlander	شمال علاقے کا باسی یا باشندہ
northland	شمالی علاقہ
North pole	قطب شمالی
North Star	قطب تارا قطبی ستارہ
northward	جانب شمال شمال کی طرف
north	شمال کی جانب شمال شمالی
nor	نہ نہ تو
nosebag	گھوڑوں کی کھانے کی تھیلی توبڑا
noseband	مہری ناک پٹا
nose bleed	نکسیر
nose dive	ناک کے بل ڈبکی سر کے بل غوطہ
nose flute	ناک سے بجانے والی بانسری
nosegay	چھوٹا سا گل دستہ پھولوں کا گچھا
nose led	اچھی طرح سے بے وقوف بنایا ہوا
noseless	بے ناک نکٹا
nose nippers	ناک کے بال نوچنے کی چمٹی
nose piece	انفیہ ٹونٹی
nose rag	رو مال
nose ring	نتھ
noser	خونی ناک ناک پہ گھونسہ سخت دھت کار
nose	ناک رگڑنا ناک سے چھونا سونگھنا سڑکنا بڑھنا جھانکنا یا دخل دینا سونگھنا یا سڑکنا ناک نتھنے
nosiness	کھوجی پن راز جوئ تجسس
nosocomial	ہسپتال سے متعلق
nosography	بیماری کی توضیح
nosology	امراض کی با قاعدہ درجہ بندی
nosophobia	بیمار ہو جانے سے از حد دہشت
nostalgia	ماضی پرستی یاد ایام
nostology	سٹھیانے پن کا مطالعہ
nostril	نتھنا
nostrum	عطائ دوا لٹکا ٹوٹکا
nosy	کھوجی متجسس راز جو تاک جھانک کرنے والا
notability	امتیاز نمایاں چیز یا شخص قابل دید چیز
notable	غیر معمولی مشہور و معروف ممتاز ممتاز چیز یا شخص قابل یاد گار
notably	خاص طور پر ناموری سے یاد گاری کے طور پر
notandum	جس چیز پر خاص طور پر نظر رکھی جائے
notarial	تصدیقی
notary	حلف اٹھانے یا تصدیق کرنے والا
notation	اشارات طریق کتابت
notched	دانتے دار دندانے دار کھردرا نشان زدہ
notchel	اطلاع نامہ جس میں کسی دوسرے کا ادھار واپس کرنے سے مستثنیٰ کیا جائے
notch	دندانے بنانا نشان گودنا شمار کرنا دانتا دندانہ کٹاؤ کٹ کھنا شگاف
notebook	بیاض دفتر یاد داشت
noted	معروف مشہور نامور
noteless	بے قدر غیر موسیقی یانہ ناقابل لحاظ
notepad	دفتر
notepaper	خط و کتابت کا کاغذ
noter	متوجہ
note	رقم کرنا تحریر میں لانا توجہ یا الطفات کرنا خط کیفیت نامہ مختصر تحریر سارنگ سر یاد داشت
noteworthiness	قابل توجہ ہونے کی حالت
noteworthy	نمایاں قابل غور قابل توجہ مشہور
not for nuts	قطعی نہیں
nothing doing	قطعاً ہیچ
nothingness	عدم بے وقعتی فنا خالی پن
nothing	عدم ادنیٰ حقیر ہیچ کچھ نہیں ناچیز
noticeable	نمایاں قابل توجہ
noticeably	نمایاں طور پر
notice	آگاہ ہونا مشاہدہ کرنا تذکرہ کرنا آگاہی حکم اطلاع نامہ خبر قبل از وقت اطلاع تحریری اعلان تنبیہ
notification	اعلان اعلان نامہ اشتہار تحریری اطلاع
notifier	اطلاع دینے والا مشتہر
notify	اعلان کرنا اظہار کرنا مشتہر کرنا تحریری یا زبانی طور پر مطلع کرنا
not ill	ہٹا کٹا
notionality	تخیل پرستی تصوریت وہم پرستی
notionally	نظری طور پر وہم پرستانہ انداز میں
notional	خیالی نظری تجریدی تخمینی
notion	عام تصور عقیدہ فکر خیال نقطہ نظر رائے اندازہ
notoriety	بدنامی ڈنکا تشہیر
notoriously	بدنامی سے اعلانیہ
notoriousness	بدنامی
notorious	انگشت نما بدنام نامی فاش
not	مت نا نہیں قطعی نہیں
notwithstanding	باوجود باوجود یکہ باوجودیکہ حالانکہ پھر تا ہم
noumenal	حقیقت شے سے متعلق
noumenon	نامعلوم یا ناقابل ادراک شے حقیقت شے
noun	عمل چیز حالت اسم جگہ نام
nourishable	قابل پرورش
nourisher	پالن ہار پرورش کرنے والا قوت دینے والا
nourishing	مقوی قوت بخش پرورش
nourishment	غذائیت غذا مقوی پرورش
nourish	آرام دینا فروغ دینا غذا بہم پہنچانا حوصلہ افزائ کرنا کھلا پلا کر بڑا کرنا پالنا پالنا پوسنا پرورش کرنا سہارا دینا
nous	دماغ ادراک فراست
nouveau riche	نو دولتیا
novation	سابقہ ذمہ داری کے بجائے نئی ذمہ داری تجدید
nova	نجم جدید نو تارا نیا تارا نیا ستارہ ستارہ جو دھماکے کے ساتھ یکا یک بھڑک جائے
novelist	ناول نویس ناول نگار
novella	نثر میں ایک مختصر بیانیہ
novelty	انوکھا کردار بدعت ابداع غرابت اختراع جدت نیا پن ندرت
novel	انوکھا غیر معمولی جدید نادر نیا نرالا طویل افسانوی نثر
novice	مبتدی ناتجربہ کار نو آموز نو مرید نو وارد
novitiate	نو امید واری
nowadays	آج کل ان دنوں
now and again	باربار
now and then	ابھی کبھی
noways	قطعاً نہیں
noway	ہرگز نہیں
no	لا مت نا نہیں انکار مت نا نہیں
nowhere near	دور دور تک نہیں
nowheres	کہیں بھی نہیں
nowhere	کہیں نہیں
nowhither	کہیں کوئ بھی نہیں
nowise	ہرگز نہیں کسی طرح نہیں قطعاً نہیں
now of late	ابھی پچھلے دنوں سے
now that	اب جب کہ چونکہ
now	آج کل اب ایک دم فوراً فل حال موجودہ حالت موجودہ وقت زمانہ حال
noxiously	فاسدانہ مخربانہ مضر طور پر
noxiousness	ناقص پن تخریب ضرررسانی
noxious	فاسد مہلک مضر صحت کے لئے نقصان دہ
noyade	ڈبو کر ہلاک کرنے کا عمل غرق آبی
nozzle	ناک منہ تھوتھنی ٹونٹی
nth	بے حد بعید ترین پرلے سرے کی
nuance	کسی رنگ کا دوسرے رنگ سے لطیف سا فرق
nubbin	بتیا
nubecula	ابر آلودگی بدلی
nubile	پرجوگ قابل ازدواج شادی کے لائق
nubility	بلوغت شادی اٹھان
nubilous	ابر آلود غبار آلود مبہم
nub	سولی سولی پر چڑھانا نقطہ نچوڑ
nucha	گدی
nuclear energy	جوہری توانائ
nuclear family	بنیادی خاندان
nuclear force	جوہری قوت
nuclear physicist	ماہر جوہری طبیعات
nuclear physics	جوہری طبیعات
nuclear	جوہری نواتی مرکزی
nucleus	گری گودا مغز مرکز مرکزہ نوات تخم
nudely	برہنگی سے عریانی سے
nudeness	ننگا پن عریانی
nude	باطل برہنہ ننگا ننگی عریاں واضح برہنہ شبیہ لباس سے بیگانہ انسانی جسم
nudge	کہنی مارنا ٹھوکا لگانا
nudism	عریانیت
nudist	عریانیت پسند
nudity	برہنگی ننگا پن عریانی کی حالت
nugatory	بے اثر بے فائدہ بے کار بودا غیر اہم ہیچ خفیف ناکارہ نکما
nugget	ڈلا ڈھیلا
nuisance value	ناگوار حیثیت وبال جان کے طور پر موجود
nuisance	بلا چوٹ ناگوار وبال وبال جان
null and void	بے اثر کالعدم
nullfied	منسوخ شدہ
nullification	ابتال اسقاط منسوخی سقوط تنسیخ
nullifidian	بے ایمان بے مذہب
nullifier	کالعدم کرنے والا ساقط کرنے والا
nullify	باطل کرنا کاٹنا کالعدم قرار دینا ساقط کرنا
nullipara	وہ عورت جس نے کبھی بچہ نہ جنا ہو
nullity	بے ضابطگی لاموجودیت معدومیت
null	القت باطل بے اثر معدوم ساقط بل پیچ
numbered	محسوب
numberer	گنتی کرنے والا
numbering	شمار
numberless	ان گنت بے حساب بے شمار لاتعداد
number one	خود سب سے پہلا
number	گننا جانچنا تعداد کا تعین کرنا عدد رقم تعداد
numbing	بے حس کرنے والا سن کرنے والا
numbly	بے حسی کے ساتھ
numbness	بے حسی سن ہونے کی کیفیت
numbskull	ابلہ احمق گاؤدی کوڑہ مغز
numb	بے حس سن ٹھٹھرا ہوا
numerable	جو گنا جا سکے قابل شمار
numerally	عددی طور پر
numeral	عددی ہندسی علامت ہندسہ اسم عدد شکل
numerary	کسی گنتی کا حصہ
numerate	گننا شمار کرنا
numeration	عدد عدد نویسی گنتی
numerator	شمار کنندہ
numerically	گنتی کے لحاظ سے رقمی حساب سے
numerical	عددی رقمی شماری تعدادی
numeric	عددی
numerosity	افراط بہتات کثرت
numerously	افراط سے کثرت سے
numerousness	افراط بہتات کثرت
numerous	با افراط بہت کثیر متعدد وافر زیادہ
numinous	دیوتائ روحانی
numismatically	سکہ شناسی کے طور پر
numismatics	مسکوکی یات سکہ شناسی
numismatic	مسکوکی سکون یا تمغوں سے متعلق
numismatist	عالم مسکوکات سکون کا ماہر
nummary	سکون سے متعلق
nummular	سکہ نما
nummulary	سکہ سے متعلق
numskull	ابلہ احمق گاؤدی کوڑہ مغز
nuncheon	ہلکی غذا تھوڑا سا کھانا
nuncio	پیغامبر پاپائے روم کا سفیر سفیر اسقف
nuncupate	حلف اٹھانا زبانی قسم کھانا
nuncupation	نامزدگی
nuncupative	نامزدہ زبانی
nuncupatory	منسوب
nunhood	راہبیت
nuniciature	پاپائے عاظم کے سفیر کا عہدہ یا مدت عہدہ
nunish	راہبانہ لٹو
nunnery	راہباؤں کی خانقاہ
nunship	راہبیت
nun	راہبہ
nuptiality	شادی کی رسم اور تقریب
nuptial knot	شادی کے بندھن
nuptial night	سہاگ رات
nuptial song	جلوہ کا گیت
nuptials	شادی بیاہ نکاح
nuptial	ازدواجی شادی سے متعلق عروسی
nurse child	آیا کے ذمہ بچہ لے پالک رضاعی بچہ
nurse father	رضاعی باپ
nurselike	آیا جیسا
nurseling	بچہ جس کی دیکھ بھال کی جائے نو مولود بچہ
nurse maid	آیا
nurser	جو بچوں کی دیکھ بھال کرے
nurserymaid	آیا جو بچوں کی دیکھ بھال کرنے کے لئے ملازم رکھی جائے
nurseryman	پود گاہ کا مالک پود گھر میں کام کرنے والا
nursery rhyme	گہوارہ گیت لوری
nursery school	گہوارہ مکتب
nursery	گیہ وارہ پود گاہ
nurse tender	بیمار کی دیکھ بھال کرنے والا یا والی
nurse tending	بیمار کی دیکھ بھال کرنا
nurse tend	بیمار کی دیکھ بھال کرنا
nurse	بچپن میں کھلانا پلانا یا دیکھ بھال کرنا دودھ پلانا پالنا پوسنا پرورش کرنا آیا اننا دایہ ہم شیرہ پالن تیمار دار جو کم زور یا بیماروں کی دیکھ بھال کرے
nursing home	نجی ہسپتال
nursing	تیمار داری
nurturance	مشفقانہ دیکھ بھال
nurturer	تربیت دینے والا
nurture	غذا بہم پہنچانا پرورش کرنا تربیت دینا پالنے کا عمل پرورش
nutant	جھکا ہوا خمیدہ
nutate	جنبش سر سر ہلانا سر جھکانا
nutational	جنبشی
nut brown	بھورا گندمی خاکی سانولا
nut butter	اخروٹ سے بنا مکھن
nutcracker	ثروتا
nuthouse	پاگل خانہ
nutmeg	جائ فل جائ پھل زائفل
nut oil	گری کا تیل
nut pine	چلغوزہ
nutrient	غذا بخش غذا بردار مغزی مقوی
nutrimental	غذا بخش
nutriment	غذا جو پر وان چڑھائے یا غذا دے خوراک
nutritionally	غذا بخش طور پر غذائ طور پر
nutritional	غذائ
nutrition	غذائیت
nutritiousness	غذائیت مقویت
nutritious	غذا بخش مغزی مقوی قوت بخش
nutritively	بطور غذا غذا بخش انداز میں
nutritiveness	غذائیت بخشی غذا کی بہم رسانی
nutritive	غذا دار غذائیت بخش مغزی
nutshell	کسی بھی مغز کا چھلکا
nuts	خبطی پاگل سنکی
nutter	گری جمع کرنے والا
nutting	گری جمع کرنے کا عمل
nut tree	کوئ بھی گری والا درخت خاص طور پر فندق کا درخت
nutty	احمق جنونی عاشق کھسکا ہوا مخبوط الحواس اخروٹ کا مزہ جس میں مغز کا مزہ ہو جوذ دار جوذ کی بہتات
nut	اخروٹ بادام مغز بڑا جوشیلا شخص گاؤدی شخص کوڑہ مغز
nuzzle	چمٹ کر بیٹھنا ناک گھسیڑنا یا رگڑنا ناک سے بل بنانا ناک سے کھودنا تھوتھنی کے ساتھ کریدنا تھوتھنی سے چھونا یا رگڑنا پالنا پرورش کرنا تربیت دینا
nyctalopia	اندھیرے میں کم نظر آنا غشا رتوندھی شب کوری
nyctitropic	شب گرد شب رخ
nyctitropism	شب گردی شب رخی
nyctolopic	اجھر شب کورانہ
nymphal	دیوی کا سا پری وش
nympholepsi	جنون حور سودا ناممکن شے کے حصول کی خواہش
nympholeptic	جنونی سودائ
nympholept	مجذوب کسی نا ممکن چیز کی خواہش میں مبتلا شخص
nymphomaniac	غیر معمولی جنسی خواہش والا یا والی
nymphomania	جنونی حد تک جنسی خواہش
nymph	حور جل پری خوبصورت دوشیزہ پہاڑ پری پیڑ پری پرشہوت عورت
oafish	ابلہ بے وقوف بھونڈا غیر مہذب
oaf	ابلہ بے وقوف بھونڈا غیر مہذب
oaken	بلوطی
oakum	کول تار والی رسی
oak	بلوط
oarlock	پتوار کا سہارا
oarsman	ملاح
oar	چپو پتوار
oasis	نخلستان
oaten	جئ کا بنا
oath	قسم سوگند حلف
oatmeal	جئ کا چورا
oat	جئ
obduracy	اکڑ اصرار سرکشی
obdurate	ڈھیٹ ہٹ دھرم کڑا سخت دل ضدی
obedience	اطاعت پیروی اطاعت تابعداری
obedient	کار بند نیک بخت مطیع تابع
obeisance	اطاعت مجرا اطاعت
obelisk	عمود
obese	موٹا شحیم
obesity	موٹاپا
obey	کہنا ماننا خیال کرنا ماننا اطاعت کرنا تعمیل کرنا
obfuscate	اندھیرا کرنا تاریک بنانا
obfuscation	اندھیرا تاریکی
obiter dictum	غیر سنجیدہ رائے
obituary	موت کی خبر ذکر رحلت
obit	تاریخ رحلت
objectify	حقیقی بنانا
objectionable	قابل اعتراض
objection	اعتراض گرفت کلام پکڑ قباحت شاخسانہ عذر
objectively	سچائ سے
objective	غرض ہدف منزل مقصد نصب العین
objectivity	مقصدیت
objector	معترض
object	اعتراض کرنا پخ لگانا پخ نکالنا چیز ارادہ ہدف کام مد نظر مطلب مدعا مراد شے
objet d'art	فن پارہ
objure	حلف اٹھانا حلف اٹھوانا
objurgate	ڈانٹنا طعن کرنا
objurgation	لعن لعنت
objurgatory	ناراض
oblate	معنون نذر کردہ
oblation	چڑھاوا نذر قربانی
obligate	مجبور کرنا
obligation (moral)	فرض ذمہ داری
