اتھاہ	bottomless unfathomable deep
سیب	apple
سِیپل	petal
سِیپی	shell
سِیت	perspiration sweat wetness chilliness moisture cold
سِیتل	cool cold
سِیتلا	smallpox
سیتنا	save
سِیٹی	whistle
سیٹھ	seth financer businessman
سِیٹھا	sickly insipid fade pale tasteless unintereste vapid
سِیٹھی	tasteless
سیج	coach bed etc palanquin
سِیخ	skewer spit
سِیخنا	grill
سیِّد	sayyid chief lord
سیِّدہ	princess lady
سِیدھ	direction simplicity straightness directness innocence aim
سِیدھا	easy quiet right proper manageable erect naive innocent straight face correct gentle simple docile directly straightforward direct provision
سِیدھائی	directness uprightness straightness simplicity
سِیدھی	straight simple
سِیدھے	directly
سَیر	perambulation walk view jest excursion spectacle tour witticism scene sightsee stroll amusement recreation
سیربین	bioscope cosmorama
سِیَر	quality virtue biography
سِیر	jointly garlic
سیر	tired satisfied satiate replete seer full
سَیراب	flourish bloom moist fertile replete well
سَیرابی	satiety
سِیرت	character disposition biography conduct
سیری	repletion fullness satiety
سِیڑھی	ladder rung source degree rank mean step level stage stair medium
سِیزدہ	thirteen
سِیزدہم	thirteenth
سِیس	forehead head
سِیسا	lead
سَیف	sword
سَیفہ	dagger
سَیفی	rosary imprecation sword magic equitant curse
سَیکڑا	hundred
سِیکھ	counsel learn instruction advice lesson tuition
سِیکھتڑ	novice learner
سِیکھنا	acquire learn
سَیل	flood stream
سِیل	dampness civility conduct virtue humanity morality contentment humidity nature disposition moisture
سِیلا	moist damp
سیلا	sash
سَیلاب	inundation flood sailab deluge
سَیلان	walk excursion outing current flow stroll travel recreation
سَیلانی	wander sufi devotee vagabond traveller itinerant tramp
سِیلن	dampness moisture wetness
سیلی	sash necklace slap cuff belt
سِیم	silver
سیم	bean water
سِیما	mark boundary countenance sign visage limit extremity
سِیماب	quicksilver mercury restless
سِیمابی	restless mercurial
سِیمابیت	restlessness
سِیمُرغ	simurgh
سِیمی	beautiful silvery white
سِیمیا	enchantment witchcraft deception stratagem cunne necromancy
سِیمیں	beautiful silvery white pretty
سَین	nod signal sign
سِینا	sew darn stitch
سینا	foster adore army worship
سیناپتی	commander
سَینت	save care
سَینتالیس	forty
سَینتالیسواں	forty
سَینتنا	preserve arrange collect save
سَینتیس	thirty
سَینتیسواں	thirty
سینٹا	reed
سِینچائی	irrigation
سِینچنا	nurture irrigate nourish
سیندُور	cinnabar vermillion
سیندُوری	red
سیندھ	housebreak
سیندھنا	dig hole
سیندھی	date palm
سَینِک	military soldier guard
سِینک	streak toothpick stripe
سینک	heat toast
سَینکڑا	hundred
سینکنا	heat
سِینکیا	strip emaciated weak streak skinny
سِینگ	horn
سِینگڑا	powder
سِینگڑی	siliqua
سِینہ	dare courage bosom breast memory heart mind
سِینی	salver tray
سیوا	service worship
سیورا	hypocrite
سُیُورغال	fief
سیوڑا	conjuror
سُیُوف	sword
سیوک	attendant servant worshipper
سِیون	sewing raphe seam perineum
سِیہ	wicked black evil unlucky
سیّہ	evil sin
سِیہہ	hedgehog porcupine
شا	king joyful glad
شاب	youth alum
شاباش	applause
شاباشی	commendation applause praise
شاپ	curse
شاخ	bough etc bit office piece horn
شاخچہ	offshoot
شاخسانہ	contention dispute intimidation controversy deception row offshoot delusion threat
شاخہ	branch yoke horn etc
شاخیں	branch bough
شاد	please glad delight happy cheerful
شاداب	green pleasant verdant fresh
شادابی	greenness freshness verdure
شاداں	joyful glad cheerful happy
شادمان	cheerful happy delight
شادمانی	delight rejoice pleasure gladness happiness joy
شادہ	wine joyful glad
شادی	delight pleasure joy shadi wedding marriage
شادیانہ	band
شاذ	seldom rare uncommon irregular rarely
شار	town city starling myna
شارِب	moustache drinker whisker
شارِح	interpreter exegete explainer commentator
شارِستان	city
شارِع	road highway law legislator
شارِق	sun bright sparkle illuminous shin
شارک	starling myna
شاستر	order etc rule command precept shastra
شاسن	governance rule government authority administration
شاش	piss sash urine
شاشا	urine
شاطِر	messenger vicious courier sly clever smart shrewd cunne
شاطِری	craftiness cunne cleverness
شاطی	seashore beach
شاعِر	poet
شاعِرانہ	poetical imaginary exaggerated
شاعِرہ	poetess
شاعِری	fantasy poetry fancy exaggeration verse hyperbole
شاغِل	busy attentive occupy
شافِع	intercessor
شافِعی	shafiite
شافہ	enema
شافی	decisive heal efficacious final categorical curative healer
شاق	try unpleasant hard troublesome difficult grievous severe
شاقُول	plummet
شاقّہ	tiring
شاک	vegetable green
شاکِر	thankful grateful
شاکی	complain complainant querulous
شاگِرد	pupil disciple apprentice
شاگِردی	study learn apprenticeship studentship
شالا	abode house place
شام	syria etc dark black evening
شاماک	bodice brassiere
شامبری	wizardry witchcraft
شامت	trouble misfortune disaster
شامِخ	high elevated proud lofty
شامِل	together encompass with inclusive united extend jointly connect include join
شامِلات	suburb partnership
شامِلاتی	joint common
شامی	syrian
شامِیانہ	shamiana tent canopy
شان	pomp dignity manner power condition regard rank respect honeycomb beehive eminence authority nature disposition glory grandeur mode
شاں	their they
شانت	calm ascetic peaceful satisfied silent
شانتی	shanti calm serenity stoicism peace tranquillity
شاندار	grand pompous
شانزدہ	sixteen
شانزدہم	sixteenth
شانہ	tooth shoulder jag cog comb
شاہ	good main king shah principal excellent monarch large
شاہانہ	arrogantly proudly imperial royal magnificent splendid princely regal
شاہباز	falcon
شاہترہ	fumitory
شاہِد	bystander eyewitness sweetheart beloved
شاہِدی	testimony
شاہِق	high lofty
شاہوار	princely royal
شاہی	rule reign kingly imperial royal regal
شاہِین	falcon shaheen
شائبہ	adulteration mixture doubt suspicion impurity
شائستگی	refinement propriety courtesy decency fitness suitability politeness
شائستہ	courteous worthy suitable decent well refine polite gentle
شائع	bring spread publish manifest reveal apparent divulge
شائِق	lover ardent admirer etc desirous fond
شائِقین	etc
شائِگان	large rich immense full replete
شائیں	whoosh
شایان	suitable desirable worthy
شب	night alum
شباب	youth acme zenith
شبان	pastor shepherd
شبانگاہ	evening
شبانہ	nocturnal nightly
شباہت	likeness similitude similarity resemblance
شبد	sound hymn term word
شِبر	span
شبِستان	harem seraglio
شبکہ	lattice net
شبکیّہ	retina
شِبہ	similitude resemblance image
شُبہ	uncertainty suspicion doubt scruple
شبینہ	stale nocturnal nightly
شبیہہ	resemble portrait figure picture image equal like
شُبھ	beautiful good virtuous bright fortunate handsome auspiciousness prosperity lucky welfare auspicious shin right splendid
شپ	etc
شِپّا	cowrie shell
شپاشپ	splash rapidly
شپّر	bat
شت	hundred
شِتا	winter
شتّا	different distinct
شِتاب	early quickly soon
شِتابا	wick
شِتابی	perturbation swiftness quickness uneasiness speed haste anxiety
شِتالنگ	ankle
شُتر	camel
شتربان	cameleer
شترُو	enemy
شتم	vilify abuse swear
شُجاع	valiant brave
شُجاعت	bravery valour chivalry
شجر	tree
شجرہ	pedigree
شجیع	brave
شحامت	plumpness bulkiness
شحنا	animosity enmity
شحنہ	prefect watchman
شحیم	bulky fleshy
شخص	body be person individual
شخصی	personal individual private
شخصے	somebody
شخصیت	personality grace rank celebrity honour
شد	intensify emphasise
شُد	start pass happen gone
شدّاد	shaddad cruel oppressor violent severe vehement
شدائد	hardship tribulation
شِدّت	strictness intensity etc firmness hardnes
شُدنی	possible trouble disaster
شُدہ	do
شدید	grave heinous difficult grievous violent strong atrocious intense severe heavy
شُدھ	purify clean pure
شُدّھی	purity purification
شر	dispute wrongdoing quarrel vice strife mischief brawl evil wickedness
شِرا	buy purchase
شراب	wine spirit liquor
شرابور	drench
شرابی	drunkard winebibber boozer
شراپ	curse
شرّاٹا	etc
شرادھ	believe faithful
شرار	spark
شرارت	playfulness villainy naughtiness wickedness prank mischief
شرارتاً	mischievously naughtily wickedly
شرارتی	mischievous naughty
شرارہ	gleam flash
شرافت	dignity civility courtesy virtue politeness honour nobility
شِراکت	alliance coparcenary combination confederacy partnership fellowship
شِراکتی	joint share
شرائط	term condition
شرائع	law highway ordinance
شرائین	artery
شربت	sherbet
شربتی	juicy
شرپا	sherpa
شرح	ratio exegesis commentary charge explanation annotation rate
شردھا	faith belief
شرربار/فشاں	scintillate inflammatory fiery sparkle
شرزہ	growl fierce roar powerful etc strong enrage vehement
شرشر	etc
شرط	stipulation obligatory prerequisite provision necessary precondition term wager bet
شرطیہ	provisional certainly undoubtedly conditional
شرع	road sharia
شرعاً	legally
شرعی	lawful legal
شرَف	dignity nobility rank glory eminence excellence honour exaltation
شُرفا	grandee noble elite
شرق	shin light
شرقی	oriental eastern
شِرک	company partnership
شُرکا	associate partner participant
شِرکت	participation company partnership
شِرکتی	common
شِرکیّہ	polytheistic
شرم	shyness hesitation esteem reputation modesty bashfulness honour shame
شرماشرمی	hesitantly
شرمانا	blush
شرمسار	abash ashamed
شرمساری	shame repentance
شرمگیں	bashful coy modest blush
شرمندگی	shame disgrace
شرمندہ	repentant ashamed regretful
شرمیلا	shy bashful modest
شرن	custody protection helper custodian shelter
شرنارتھی	refugee
شرِنگار	love sex
شُروا	stew broth
شُروع	begin initiation commencement start onset
شُروعات	start begin
شرہ	desire appetite greed
شِریٰ	buy purchase sell
شِری	beauty light shri sri splendour mr glory
شرّی	wicked malevolent
شریر	mischief life body bad evil mischievous corrupt wicked naughty
شریعت	sharia
شریف	good courteous sacred virtuous polite holy gentle noble eminent gentleman civil high honourable
شریفانہ	etc noble
شریک	colleague comrade associate partner united include confederate participant
شِرِیمتی	madam
شِست	plectrum aim bow
شستر	weapon armament
شستک	dildo
شُستگی	neatness civility cleanliness
شُستہ	prepare chaste cultured cleanse cultivate dress clean wash
شش	six
شُش	lung
ششدر	astonish perplexed
ششدری	amazement
ششُم	sixth
ششماہی	half
شصت	hook aim sixty bow
شط	river
شطّاح	lewd obscene artful lustful lascivious cunne
شطحیّات	blasphemy
شطرنج	chess
شطرنجی	chessboard
شِعار	manner mark habit identity custom method
شُعاع	beam lustre light radiance ray
شعب	group people race nation
شِعب	ravine pass
شُعب	division branch
شعبان	shaaban
شُعبہ	branch division department etc
شعر	hair capillary
شِعر	distich couplet verse poetry
شعرگوئی	versification
شُعرا	poet
شِعریٰ	sirius
شِعری	poetical
شِعریات	poetic
شعشعہ	cedilla brilliance rumour hoax
شُعلگی	warmth excitement heat
شُعلہ	blaze flame
شُعُور	sense intelligence consciousness wisdom understand
شُعُوری	conscious
شعیر	barley
شغال	jackal
شغب	disturbance noise tumult
شغف	ardour like enthusiasm fondness inclination interest
شغل	vocation business amusement employment occupation hobby work
شِفا	heal cure
شفابخش	heal curative health
شفاعت	atonement expiation recommendation advocacy
شفّاف	limpid etc clean clear transparent
شفّافی	clearness transparency
شفتالُو	peach
شفترنگ	nectarine
شفتل	trefoil
شُفعہ	adjunction
شفق	affection kindness twilight
شفقت	clemency
شفوی	labial bilabial
شفیع	mediator intercessor advocate
شفیق	merciful affectionate kind
شق	fissure daybreak dawn crack cleft
شِق	dispute division part difficulty clause piece
شِقاق	rift enmity schism
شقاوت	misfortune villainy inauspiciousness wretchedness callousness
شقائِق	fissure temple crack tulip
شُقّہ	pennant note letter pennon edge edict
شقی	vicious callous cruel tyrannical
شقیق	tulip
شقیقہ	fissure temple migraine
شک	uncertainty misgiving doubt suspicion
شِکار	angle hunting booty catch fishing prey hawk shikar victim sport
شِکارا	shikara
شِکاری	angler hunter shikari sportsman
شِکایت	complaint grievance lamentation
شِکایتاً	complainingly
شکتی	power ability goddess strength capability capacity shakti
شُکتی	snail shell conch
شکر	sugariness sweetness sugar
شکرگفتار	sweet
شُکَر	pure white bright resplendent
شکروار	friday
شُکر	thanksgiving gratitude thankfulness
شکرگزاری	gratefulness thankfulness
شِکرا	falcon shikra
شُکراً	thankfully
شُکرانہ	bribe thanksgiving gratitude
شکری	sugary
شِکرین	saccharin
شکریں	sugary
شُکریہ	thank
شِکست	breakage drop loss failure fracture fall deficiency defeat
شِکستگی	rupture defeat affliction dejection
شِکستہ	weak break sick rout infirm bankrupt
شکل	manner formation state resemblance condition kind shape diagram type mode fashion figure style image likeness appearance way like form face
شکلاً	apparently
شکلیاتی	morphological
شِکم	stomach belly womb
شِکمی	congenital dependent big subordinate
شِکن	crease breaker crush break shrivel destroyer fold constringe
عہدشکن	oath
شِکنجہ	press clamp etc torture
شِکنی	break
شُکُوک	doubt
شِکوَہ	complaint lamentation plaint
شِکوہ	pomp grandeur awe magnificence majesty
شکّی	sceptical suspicious
شِکیب	patience endurance
شِکیبا	patient
شِکیبائی	patience endurance
شکیل	comely handsome
شِگاف	fissure incision crack cleft crevice splitter split
موشگاف	hair discern
موشگافی	hair
شِگال	jackal
شِگرف	beautiful vigorous glorious respectable excellent rare great powerful venerable strange
شِگُفت	happiness astonishment surprise wonder
شِگُفتگی	delight cheerfulness pleasure flourish
شِگُفتہ	flourish bloom happy interest
شِگُوفہ	blossom rumour bud
شگُون	betrothal augury omen engagement
شگُونیا	fortune augur
شل	tired paralyse fatigued cripple etc
شلاق	lash whip slap
شِلتاق	quarrel tumult rumpus
شلجم	turnip
شلنگ	leap spring bind jump
شِلنگا	tack
شلوار	shalwar
شلُوکا	bib
شلّہ	tatter rag
شما	forgiveness remission pardon
شُما	you
شُمار	estimation account count calculation number
شُماری	number count
شُمارِیات	statistic
شُماریاتی	statistical
شمّاس	sun
شُمالی	northern
شمامہ	pastille fragrance
شمائل	virtue habit quality
شِمر	cruel
شُمرُدہ	count number
شمسی	solar
شمشِیر	scimitar sword
شمع	candle lamp
شملہ	sash
شمن	idol idolater
شُمُول	inclusion
شمّہ	atom iota particle odour smell
شمیم	scent perfume fragrance aroma smell
شِنا	swim
شناخت	identity knowledge acquaintance discernment identification
شناس	know notification identity knowledge explanation acquaint
شناسا	acquaintance
شناسائی	acquaintance knowledge
شناسی	acquaintance knowledge
شناعت	imprecation damnation evil wickedness reproach badness
شِناور	swimmer expert
شِناوری	expertise swim
شنکا	uncertainty doubt fear
شنکھ	horn conch
شنگ	jolly
شنگرف	vermilion cinnabar
شِنوا	hear hearer
شِنوائی	attention hear
شنی	saturn
شنیدہ	hear
شنیع	evil abominable bad
شَو	husband
شِو	shiva
شُو	wash washer
شوارع	highway
شوّال	shawwal
شواہِد	proof verification evidence
شوب	wash
شوبھا	loveliness beauty splendour decoration
شوخ	lover irreverent dare bold playful naughty pert
شوخی	pertness humour playfulness coquetry
شور	tumult salinity cry outcry renown fame uproar agitation noise salt clamour
شُوریٰ	shura consultation deliberation council
شوربا	gravy soup broth
شورِش	tumult revolt commotion insurgency disturbance agitation
شورہ	bitter saltpetre saline nitre
شورِیت	salinity saltiness
شوریدگی	madness tumult rebellion salinity love craziness confusion passion disturbance disobedience
شوریدہ	bitter furious dejected crazy saltish saline mad outrageous disturb
شوشہ	part particle etc mischief chip
شوفر	chauffeur
شَوق	gaiety pleasure curiosity desire zeal love fondness inclination interest passion avidity eagerness longing hobby affection
شَوقین	desirous enthusiast
شَوقیہ	amateur inexperienced love amorous
شَوک	bristle thorn
شوک	mourn grief
شَوکت	pomp dignity grandeur sting magnificence thorn
شُول	pain
شُوم	stingy miser unfortunate unlucky
شُومڑا	miser miserly
شُومی	misfortune miserliness niggardliness stinginess
شُومیت	misfortune miserliness stinginess
شَوہر	husband
شُوئی	wash husband
شہ	large main king assistance instigation principal help incitement support check
شِہاب	flame
شہابی	red
شِہابیّہ	meteor
شہادت	shahada evidence witness testimony
شہامت	generosity ingenuity greatness bravery heroism boldness
شہانہ	princely majestic noble kingly royal magnificent regal splendid
شہباز	falcon
شہپارہ	masterpiece
شہتُوت	mulberry
شُہَدا	witness martyr
شُہدا	hooligan rake vagabond hoodlum street rascal ruffian
شہر	month city town
شہرداری	citizenship
شہریار	emperor sovereign king monarch
شہریاری	empire royalty imperial royal sovereignty
شُہرت	fame renown reputation
شُہرہ	fame acknowledgment
شہری	citizen townsman urban
شہریت	civility nationality township civic citizenship
شہزادہ	prince
شہزادی	princess
شہکار	masterpiece
شہنائی	shahnai
شہنشاہی	imperial empire
شہوانی	carnal sexual sensual
شہوت	sensuality lust
شہوتی	lustful lecherous lewd libidinous
شہود	witness friday
شُہُود	presence existence
شُہُور	month
شہید	witness
شہیر	renowned famous
شُؤُن	way mode fashion method
شَے	matter article object thing
شیّاد	deceitful cheat cunne fraud
شیاطین	devil demon
شِیاف	suppository
شیب	under descent declivity below
شِیت	dull stupid winter frigidity frigid cold coldness
شِیتل	chilly frigid cold
شِیتلا	smallpox
شَیخ	sheikh preacher saint
شَیخوخت	sheikhdom
شیخی	arrogance brag boast
شید	deception fraud trick
شَیدا	lover infatuated
شَیدائی	lover
شِیر	milk
شیرآوری	lactation
شیرکاری	dairy
شیرِمادر	permissible lawful
شیر	tiger fearless brave lion bold
شِیراز	cheese shiraz
شِیرازہ	integration alliance management
شِیرازی	iran
شیرانہ	tiger bravely
شیرنی	tigres lioness
شِیرِیں	shirin pleasant beloved lover gentle sweet
شِیرِینی	sweet sweetness sweetmeat
شِیش	remainder last death glass head destruction other remain kill final
شِیشم	shisham
شِیشہ	mirror glass bottle look shisha
شِیشی	vial phial
شَیطان	shaitan satan
شَیطانی	diabolical wickedness mischief devilish
شَیطنت	devilry wickedness mischief
شِیعہ	shiite
شیفتگی	love infatuation fondness
شیفتہ	astonish enamour infatuated
شِیل	character nature habit
شِیلان	food
شِیَم	quality habit
شُیُوخ	chief
شیوَن	lamentation plaint
شیوہ	manner habit way
شَیئیّت	realism
ص	correct
صحیح	true pure whole accurate sound perfect exact correct right
صابِر	endure forbear patient
صابِری	patience
صابُن	soap
صابُورہ	ballast
صابُونی	soapy honey
صابی	sabaean apostate
صاحِب	chief master associate comrade sahib companion lord sir possessor ruler mr owner possess
صاحِبزادہ	son etc lord
صاحِبزادی	daughter etc
صاحِبہ	lady madam
صاحِبی	rule influence sway
صادِر	issue arrive emanate proceed derive pass
صادرکنندہ	etc
صادِق	obvious faithful true candid veracious sincere
صادِقی	sincerity
صارِف	consumer
صارِم	brave intrepid bold
صاعِقہ	lightne thunderbolt
صاف	utter innocent unadulterated apparent complete candidly frank certainly indifferently clean indisputable quickly clearly surely candid etc proper open hurriedly right pure downright clear
صافا	fast
صافی	spotless duster pure filter cleanness sincerity clean strainer purity wiper
صالِح	good virtuous pious righteous
صالِحیّت	righteousness piety virtue
صامِت	quiet surprised reticent flabbergast silent
صامِتہ	consonant
صانِع	inventor artificer
صائِب	well right
صبا	zephyr
صِبا	childhood
صباح	morning daybreak dawn
صباحت	loveliness beauty
صبّاغ	dyer
صُبح	morning dawn
صبر	forbearance self submission sufferance endurance patience
صِبغت	hue colour
صِبغہ	colour
صُبوح	morning
صبور	endure dildo perseverant steadfast
صبوری	endurance patience forbearance
صبی	lad
صبیح	beautiful fair handsome
صِحاب	companion
صحابت	society loyalty friendship companionship adherence
صحابی	companion
صحاح	healthy
صِحاح	complete authentic
صحارا	desert
صحّاف	bookbinder
صحافی	journalist
صُحبت	society friendship relation contact company coitus
صُحبتی	friend companion comrade
صِحّت	confirmation soundness health accuracy correctness validity
صحرا	plain wilderness desert
صحراگرد/نورد	traveller tramp
صحرائی	uninhabited wild
صحن	courtyard
صحیفہ	page book magazine leaf volume periodical
صخرہ	hill rock
صد	hundred cent
صدپا	centipede
صدا	sound cry voice shout
صداکرنا	call
صُداع	vertigo headache
صِداق	dower
صداقت	fidelity sincerity verity truthfulness truth veracity
صدر	headquarters president basic forego principal above primary essential capital
صدری	jacket waistcoat
صِدق	sincerity truth
صدقہ	sacrifice charity
صدمہ	collision shock hurt grief blow calamity sorrow accident
صُدُور	emanation president issuance
صدی	centenary century
صِدِّیق	sincere true
صُراح	pure unadulterated
صراحت	pureness perspicuity explanation elucidation purity
صراحتاً	clearly explicitly expressly evidently
صراحتی	explanatory
صُراحی	surahi
صِراط	path way
صرّاف	perspicacious sarraf jeweller money shrewd wealthy
صرّافی	money
صرصر	ruination storm death destruction sarsar
صرف	busy use morphology grammar expense expenditure
صِرف	mere pure unmixed exclusively solely neat unadulterated purely only alone merely
صرفہ	use expenditure expense
صرفی	morphological grammarian
صرِیح	obvious altogether evidently manifest plainly palpable apparent absolutely evident clear gross
صرِیحاً	expressively evidently clearly palpably vividly plainly
صعب	perverse hard difficulty difficult troublesome trouble arduous
صُعُوبت	trouble hardship difficulty distress
صُعُود	climb ascent progress ascension
صُعُودی	raise ascend
صِغر	smallness
صُغریٰ	small less least
صغیر	small minor inferior junior
صغیرہ	small
صف	order class file group rank row
صفا	explicitness pure unambiguousness lucidity unselfishness sincerity transparency clean elucidation purity cleanness
صفائی	clearness cleanliness dexterity destruction knack truthfulness openness explanation plainness clarification validity deftness smoothness cleanness purity
صفایا	ruin pillage plunder annihilation devastation
صِفت	characteristic epithet quality feature trait attribute
صفحہ	surface face etc
صفر	safar
صِفر	nothing cipher nought zero nil
صفرا	choler gall bile
صفراوی	choleric biliary bilious
صفوات	essence gist quality
صفوان	stone rock
صفوَت	purity select respect choice
صُفُوف	line rank row
صُفّہ	shade platform
صفی	just pure elect righteous saint
صفیر	chirp whistle
صفیری	fricative sing
صقّال	polisher
صلا	invitation call etc proclamation
صلابت	rigour severity firmness awe hardnes
صلاح	counsel goodness piety advice well virtue suggestion
صلاحیّت	capacity capability ability
صلادت	hardnes firmness
صلب	fret crucifixion tease vex
صُلب	loin offspring backbone
صُلح	treaty peace truce reconciliation
صُلحا	just
صُلحہ	friendship
صلف	brag self boast
صلوٰۃ	benediction prayer supplication
صلوات	prayer abuse threat blessing benediction
صلواتیں	abuse
صِلہ	recompense conjunction reward connection
صلیب	gallow hard crucifix
صلیبی	christian cruciform cross
صُم	deaf
صِمام	valve
صمت	speechlessness silence
صمد	everlaste eternal
صمدانی	godly divine
صمدیّت	self sublimity
صمغ	gum
صمیم	choice pure unmixed core bottom deaf sincere
صنادِید	prince celebrity chief nobleman
صنّاع	artisan craftsman
صِناعت	profession handiwork art handicraft trade craft
صنّاعی	craftsmanship
صنائع	art craft
صندل	sanders sandalwood sandal
صندلی	seat bench
صندوق	chest coffin case trunk box
صندوقچہ	casket
صندوقی	oblong box
صنعت	profession art craft handicraft industry skill trade fabrication
صنعتی	artistic industrial
صِنف	kind category specie sort gender genre sex
صِنفی	sexual
صنم	idol beloved sweetheart
صنمیات	mythology
صنوبر	juniper
صنیع	good expert fine skilled etc
صواب	rectitude
صوابدید	expediency advisability approval discretion
صَوب	side part tract way tendency
صُوبائی	provincial local
صُوبہ	sooba province subah
صَوت	shout noise sound voice clamour
صَوتی	phonic vocal
صَوتیات	acoustic phonetic phonology phonemic
صَوتیہ	phon phoneme
صُور	trumpet clarion
صُورت	condition countenance sign indication image vision appearance resemblance case face likeness manner conception mean idea figure device form mode design idol
صُوری	bodily extrinsic external outward physical
صُوریات	morphology
صُوف	wool
صُوفی	wise sufi
صُوفِیانہ	mystical
صَولت	fear fury dread awe
صَوم	fast
صَومعہ	church hermitage monastery
صہبا	wine
صہیل	neigh
صہیُونی	zionist
صہیُونیت	zionism
صیّاد	huntsman hunter
صیادِاجل	death
صیّادی	hunting shoot
صِیام	fast
صِیان	keep preserve
صِیانت	guard support preservation defence
صَید	hunting lover prey game shikar
صَیدا	forest
صَیرف	money deceiver cheat
صِیغہ	profession side trade department case section tense
صَیف	summer
صَیقل	burnish clean polish
صِین	china
ضابِط	tolerant master punctual governor possessor strict patient
ضابِطہ	canon ordinance discipline rule control regulation law
ضاحِک	smile laugh mocker humorist satirist
ضار	noxious harmful injurious damage
ضارِب	bruise strike beat coin multiplier
ضال	deviant err
ضامِن	security surety bail responsible bondsman
ضامِنی	security surety bail pledge guarantee
ضائع	dissipate abortive perish destroy lose waste
ضبط	proscription order guard discipline confiscation control watch check seizure sequestration restraint
ضخامت	bulk thickness volume
ضخیم	thick bulky voluminous
ضِد	stubbornness contrary persistence opposite obduracy opposition
ضِدّی	stubborn obdurate intractable
ضِدَّین	opposite
ضرّاب	striker
ضراعت	entreaty submission humility
ضرب	loss multiplication beat impression damage blow stroke
ضربت	blow stamp stroke
ضرر	injury disadvantage loss detriment damage
ضِرغام	lion brave
ضرور	certainly surely absolutely definitely
ضرورت	want exigency necessity need
ضروری	obligatory necessary unavoidable requisite indispensable urgent essential needful
ضروریات	necessity
ضریح	tomb grave
ضِعف	multiplication
ضُعف	infirmity weakness feebleness debility
ضعیف	feeble weak faint poor old infirm
ضعیفی	infirmity weakness
ضغطہ	perplexity worry pressure difficulty jerk pull trouble
ضلالت	perdition
ضِلع	side part zilla district
ضم	conjunction absorption merger amalgamation assimilation
ضِماد	ointment embrocation plaster liniment fillet bandage poultice
ضمان	security surety penalty fine guaranty
ضمانت	security guarantee bail surety
ضمانتی	sponsor security surety
ضِمن	conception idea clause content subject section
ضِمناً	tacitly incidentally
ضِمنی	supplementary secondary incidental provisional relative implicative additional
ضمیری	conceal pronominal
ضمیمہ	supplement addendum prelim addition appendix
ضَو	lustre light brightness luminosity shin
ضوابِط	code rule
ضِیا	brilliance light splendour
ضیابار/پاش	shin lustrous luminescent
ضِیاع	loss waste
ضِیافت	feast banquet
ضَیغم	lion brave
ضَیف	guest
ضِیق	anguish distress melancholy difficulty dilemma narrow
طاب	good pure excellent clean agreeable
طابِع	printer
طارم	gazebo dome kiosk vault
طاری	prevalent overshadow overwhelm occur
طاس	bowl brocade drinking basin goblet
طاسہ	tabor kettledrum
طاعت	obsequiousness submissiveness submission obedience
طاعِن	asperser reproacher slanderer reviler
طاعُون	pestilence plague
طاغُوت	satan
طاغُوتی	diabolical satanic devilish
طافِح	river intoxicate etc
طاق	expert singular unrivalled shelf unique niche
طاقت	potency power effectiveness ability virility rule sway strength force capacity authority efficacy might vitality
طاقتور	strong stout powerful
طاقہ	entity
طاقی	arched
طاقِیہ	cornice balcony
طال	long lengthy
طالِب	lover demand suitor candidate enquirer seeker ask desirous crave
طالبعلم	student
طالبعلمی	studentship
طالح	wicked villainous vicious bad evil corrupt
طالِع	fortune lot rise destiny
طالِیقُون	tin copper silver iron collyrium
طامّات	boast rave
طامِع	greedy covetous
طاہِر	unsullied chaste clean pure
طائِر	bird
طائِف	circumambulate
طائِفہ	group troupe sect
طائِل	benefit gain use
طائوُس	peacock
طبّاخ	chef cook
طباشیر	manna chalk whiteness
طبّاع	quick
طباعت	print
طباق	plate bowl basin
طبّال	drummer
طبائع	nature habit
طبر	axe
طبع	temperament genius idiosyncrasy print etc nature
طبعی	inborn physical innate natural
طبق	etc dish tray silver cover stratum plate layer lid
طبقات	class
طبقاتی	sectional
طبقچی	waiter
طبقہ	order storey rank stage floor stratum layer
طبل	kettledrum tabl
طبلچی	drummer
طبلق	folder
طِبّی	medical therapeutic
طبیب	physician
طبیعت	temperament habit property constitution nature disposition
طبیعی	physicist physical natural innate
طبیلہ	stable
طپاں	uneasy distressed restless agitated
طپش	restlessness hotness heat anguish
طپیدہ	distressed agitated
طِحال	spleen
طرّاح	architect painter
طرّاحی	architecture paint
طرّار	trickster brave astute dare cheat facile pickpocket sharp clever imposter eloquent cunne cutpurse
طرارہ	leap speed bind quickness
طرّاری	craftiness eloquence quickness fluency cunne
طِراز	lace decorate fringe design embroidery
طراوت	verdure juiciness dampness greenness succulence humidity freshness moisture
طراوِش	drip
طرب	happiness joy merriment cheerfulness mirth hilarity
طربیہ	etc comic
طرح	manner beauty air kind grace mode type design base foundation way plan like
طرز	manner form mode fashion style way
طرف	quarter direction towards side
طرفت	wink
طُرفگی	rareness wonderfulness
طُرفہ	wonderful rare novel rarity novelty strange extraordinary
طُرّہ	ringlet forelock nosegay curl
طریق	manner observance rite road procedure custom way course
طریقت	path religion way cult
طریقہ	manner method custom way
طشت	salver tray
طعام	food victual
طعم	relish taste flavour
طُعمہ	morsel bait
طعن	gibe taunt reproach scoff sneer
طعنہ	blame taunt
طُغرا	logo monogram
طُغیان	storm flood rebellion oppression cruelty disobedience
طُغیانی	inundation storm flood deluge overflow
طِفل	child infant
طِفلانہ	childlike childish
